"","country","year","region","continent","population","infant_mortality","fertility","gdp","life_expectancy"
"68","Guatemala",1960,"Central America","Americas",4127555,146,6.53,3989089865,46.51
"71","Guyana",1960,"South America","Americas",564222,67.7,5.67,385886207,59.08
"73","Honduras",1960,"Central America","Americas",2002333,140.9,7.46,1502038539,47.71
"75","Hungary",1960,"Eastern Europe","Europe",10001270,53.4,2.05,10486859064,68.13
"76","Iceland",1960,"Northern Europe","Europe",175520,17.5,4.13,1775037087,74.22
"77","India",1960,"Southern Asia","Asia",449661874,165.1,5.87,81042654922,41.26
"78","Indonesia",1960,"South-Eastern Asia","Asia",87792512,148.4,5.67,18448917543,45.01
"82","Israel",1960,"Western Asia","Asia",2089891,32,3.84,12313161088,68.55
"83","Italy",1960,"Southern Europe","Europe",49714962,44.2,2.37,293540646267,69.19
"85","Japan",1960,"Eastern Asia","Asia",92500754,30.4,2,719165142029,67.78
"88","Kenya",1960,"Eastern Africa","Africa",8105440,118.6,7.95,2116484537,47.42
"90","South Korea",1960,"Eastern Asia","Asia",25074028,80.2,6.16,28928298962,53.02
"96","Lesotho",1960,"Southern Africa","Africa",851412,143.3,5.84,112602724,47.02
"97","Liberia",1960,"Western Africa","Africa",1120314,212,6.41,678395865,35.24
"100","Luxembourg",1960,"Western Europe","Europe",314586,33,2.35,4302303281,68.99
"103","Madagascar",1960,"Eastern Africa","Africa",5099371,112,7.3,2087989940,41.96
"104","Malawi",1960,"Eastern Africa","Africa",3618604,218.2,6.91,347712093,38.51
"105","Malaysia",1960,"South-Eastern Asia","Asia",8160975,67.4,6.19,6631037036,59.89
"109","Mauritania",1960,"Western Africa","Africa",858170,135,6.78,319353267,43.91
"111","Mexico",1960,"Central America","Americas",38174114,100.6,6.78,94354817785,57.34
"116","Morocco",1960,"Northern Africa","Africa",12328534,145,7.07,7532416437,49.64
"119","Nepal",1960,"Southern Asia","Asia",10056945,219.6,5.99,1354713257,39.8
"120","Netherlands",1960,"Western Europe","Europe",11418652,16.4,3.12,98359287391,73.35
"123","Nicaragua",1960,"Central America","Americas",1774696,134,7.34,2103502588,50.69
"125","Nigeria",1960,"Western Africa","Africa",45211614,165,6.35,12836410903,40.39
"126","Norway",1960,"Northern Europe","Europe",3582016,18.4,2.88,38302651835,73.66
"127","Oman",1960,"Western Asia","Asia",551737,164,7.25,538829577,44.64
"128","Pakistan",1960,"Southern Asia","Asia",44911810,192,6.6,8608436616,46.79
"129","Panama",1960,"Central America","Americas",1132924,66.9,5.87,1930103379,61.62
"130","Papua New Guinea",1960,"Melanesia","Oceania",1966957,134.6,6.28,837055577,38.6
"131","Paraguay",1960,"South America","Americas",1902871,62.6,6.5,1263290494,66.35
"132","Peru",1960,"South America","Americas",10061519,135.9,6.88,16356280982,48.95
"133","Philippines",1960,"South-Eastern Asia","Asia",26273023,67.9,7.15,17990832237,58.82
"135","Portugal",1960,"Southern Europe","Europe",8875311,84.6,3.16,20981025078,64.23
"140","Rwanda",1960,"Eastern Africa","Africa",2933424,127.9,8.19,623378345,43.07
"145","Senegal",1960,"Western Africa","Africa",3177560,126.3,6.95,1870217818,38.46
"147","Seychelles",1960,"Eastern Africa","Africa",41538,73.6,5.27,48981400,60.42
"148","Sierra Leone",1960,"Western Africa","Africa",2181701,223.6,6.03,488526149,36.07
"149","Singapore",1960,"South-Eastern Asia","Asia",1633718,35.5,5.82,3705795365,65.02
"154","Spain",1960,"Southern Europe","Europe",30450994,47.7,2.77,113021529146,69.23
"155","Sri Lanka",1960,"Southern Asia","Asia",9896172,72.7,5.54,2708601390,59.76
"156","Sudan",1960,"Northern Africa","Africa",7527450,107.4,6.69,3292300613,49.54
"159","Sweden",1960,"Northern Europe","Europe",7479602,16.3,2.2,85028727553,73.01
"161","Syria",1960,"Western Asia","Asia",4592777,121.8,7.47,2203477369,52.87
"164","Thailand",1960,"South-Eastern Asia","Asia",27397178,102.2,6.15,8764726641,55.46
"166","Togo",1960,"Western Africa","Africa",1580513,162.4,6.52,278575742,41.06
"168","Trinidad and Tobago",1960,"Caribbean","Americas",848481,56.6,5.26,2811586619,63.07
"170","Turkey",1960,"Western Asia","Asia",27553280,166,6.3,44566050533,46.91
"175","United Kingdom",1960,"Northern Europe","Europe",52410496,22.9,2.69,525328308407,71.02
"176","United States",1960,"Northern America","Americas",186176524,25.9,3.67,2479391093100,69.91
"177","Uruguay",1960,"South America","Americas",2538651,57.7,2.88,10614613898,67.95
"180","Venezuela",1960,"South America","Americas",8146845,59.9,6.62,41118729573,60.08
"184","Zambia",1960,"Eastern Africa","Africa",3049586,123.2,7.02,1666817402,48.34
"185","Zimbabwe",1960,"Eastern Africa","Africa",3752390,92.6,7.16,1459732283,53.11
"187","Algeria",1961,"Northern Africa","Africa",11404859,148.1,7.65,11946771141,48.02
"190","Argentina",1961,"South America","Americas",20953079,59.73,3.1,114201892335,65.53
"193","Australia",1961,"Australia and New Zealand","Oceania",10494911,20,3.55,98950410413,71.14
"194","Austria",1961,"Western Europe","Europe",7105654,35,2.79,55294196572,69.72
"198","Bangladesh",1961,"Southern Asia","Asia",49593610,171.7,6.76,13540691011,46.73
"199","Barbados",1961,"Caribbean","Americas",231674,65,4.31,844470434.1,62.31
"201","Belgium",1961,"Western Europe","Europe",9200393,28.1,2.63,71634993490,70.46
"203","Benin",1961,"Western Africa","Africa",2466002,183.9,6.34,641329522.6,38.8
"205","Bolivia",1961,"South America","Americas",3764815,170.5,6.67,3064252968,44.14
"207","Botswana",1961,"Southern Africa","Africa",536576,112.2,6.63,132351054.3,50.7
"208","Brazil",1961,"South America","Americas",74706888,126.1,6.19,116168372089,55.78
"211","Burkina Faso",1961,"Western Africa","Africa",4894578,159.4,6.32,620738750.3,35.72
"212","Burundi",1961,"Eastern Africa","Africa",2840375,144.8,7,294235019,40.85
"214","Cameroon",1961,"Middle Africa","Africa",5474509,163.3,5.71,2785779139,44
"215","Canada",1961,"Northern America","Americas",18295922,27,3.85,173205864895,71.22
"217","Central African Republic",1961,"Middle Africa","Africa",1529229,162.9,5.87,561479896.3,37.89
"219","Chile",1961,"South America","Americas",7873504,121.1,5.54,14657690860,57.23
"220","China",1961,"Eastern Asia","Asia",654625069,161,3.28,51282752582,32.95
"221","Colombia",1961,"South America","Americas",16982313,87.6,6.8,20019008355,58.63
"224","Congo, Rep.",1961,"Middle Africa","Africa",1039966,108.4,5.92,678538007.8,48.88
"225","Costa Rica",1961,"Central America","Americas",1381920,83.56,7.3,2375566267,62.56
"226","Cote d'Ivoire",1961,"Western Africa","Africa",3602075,203,7.43,2202622974,38.74
"231","Denmark",1961,"Northern Europe","Europe",4613769,20.8,2.55,55492247059,72.55
"233","Dominican Republic",1961,"Caribbean","Americas",3406299,101,7.49,2949463771,54.17
"234","Ecuador",1961,"South America","Americas",4676858,118.2,6.67,3697721716,54.77
"235","Egypt",1961,"Northern Africa","Africa",27810001,202.7,6.61,12536920098,48.89
"236","El Salvador",1961,"Central America","Americas",2843246,123.9,6.75,4159510750,52.77
"241","Fiji",1961,"Melanesia","Oceania",407152,52.1,6.28,452454345,56.12
"242","Finland",1961,"Northern Europe","Europe",4463432,20.6,2.65,34824194518,69.07
"243","France",1961,"Western Europe","Europe",46471083,22.4,2.8,369037927246,71.07
"249","Ghana",1961,"Western Africa","Africa",6866545,123.8,6.79,1965121691,46.8
"250","Greece",1961,"Southern Europe","Europe",8366020,47.3,2.22,31353494474,68.8
"253","Guatemala",1961,"Central America","Americas",4240084,143.3,6.51,4160561630,47.12
"256","Guyana",1961,"South America","Americas",582034,65.1,5.58,403982434.6,59.24
"258","Honduras",1961,"Central America","Americas",2069085,136.6,7.45,1529911259,48.47
"261","Iceland",1961,"Northern Europe","Europe",179106,17.2,4.07,1773534306,73.6
"262","India",1961,"Southern Asia","Asia",458691457,162.5,5.86,84059664307,41.99
"263","Indonesia",1961,"South-Eastern Asia","Asia",90138235,144.8,5.66,19575208346,45.83
"268","Italy",1961,"Southern Europe","Europe",50067464,42.7,2.41,317632248963,69.82
"270","Japan",1961,"Eastern Asia","Asia",93357259,27.9,1.98,805778057743,68.43
"273","Kenya",1961,"Eastern Africa","Africa",8361442,114,8,1949773813,48.13
"275","South Korea",1961,"Eastern Asia","Asia",25808542,76.1,5.99,30356298714,53.75
"281","Lesotho",1961,"Southern Africa","Africa",866253,142.3,5.83,114702544.3,47.54
"282","Liberia",1961,"Western Africa","Africa",1144896,212.1,6.43,694948646.8,35.54
"289","Malawi",1961,"Eastern Africa","Africa",3700032,216.4,6.95,374275949.2,38.76
"290","Malaysia",1961,"South-Eastern Asia","Asia",8429369,64.2,6.14,7134862821,60.48
"294","Mauritania",1961,"Western Africa","Africa",883223,131.9,6.79,368948551.9,44.62
"296","Mexico",1961,"Central America","Americas",39394125,97.7,6.78,99075314540,57.95
"301","Morocco",1961,"Northern Africa","Africa",12713043,142.7,7.11,7349737688,50.11
"304","Nepal",1961,"Southern Asia","Asia",10215153,216.7,5.99,1380564790,40.26
"305","Netherlands",1961,"Western Europe","Europe",11576024,16.1,3.22,98649984992,73.54
"308","Nicaragua",1961,"Central America","Americas",1830400,132.5,7.26,1741191321,51.53
"311","Norway",1961,"Northern Europe","Europe",3610710,18,2.91,40705505694,73.67
"312","Oman",1961,"Western Asia","Asia",564895,237.2,7.25,544970113.4,45.57
"313","Pakistan",1961,"Southern Asia","Asia",45988447,184.8,6.6,9123853537,47.73
"314","Panama",1961,"Central America","Americas",1167041,65.3,5.85,2137615699,62.17
"315","Papua New Guinea",1961,"Melanesia","Oceania",2001048,130.7,6.28,888794937,39.2
"316","Paraguay",1961,"South America","Americas",1953331,62,6.49,1352424687,66.7
"317","Peru",1961,"South America","Americas",10350239,132.6,6.87,17558476237,49.56
"318","Philippines",1961,"South-Eastern Asia","Asia",27164618,65.9,7.09,19001301599,59.17
"320","Portugal",1961,"Southern Europe","Europe",8899331,82.3,3.18,22142318529,62.85
"325","Rwanda",1961,"Eastern Africa","Africa",2996091,125.3,8.19,597789677.5,43.41
"330","Senegal",1961,"Western Africa","Africa",3265558,126,6.99,1931233186,38.63
"332","Seychelles",1961,"Eastern Africa","Africa",42402,72.3,5.4,46589992.71,61.03
"333","Sierra Leone",1961,"Western Africa","Africa",2210169,220.5,6.09,497363800.2,36.57
"334","Singapore",1961,"South-Eastern Asia","Asia",1690353,32.9,5.56,4217950558,65.41
"339","Spain",1961,"Southern Europe","Europe",30777097,44.4,2.79,126401779752,69.62
"340","Sri Lanka",1961,"Southern Asia","Asia",10129134,69.8,5.42,2823071268,60.18
"341","Sudan",1961,"Northern Africa","Africa",7749884,105.7,6.71,3322278876,50.04
"344","Sweden",1961,"Northern Europe","Europe",7527081,16,2.23,89859666462,73.47
"346","Syria",1961,"Western Asia","Asia",4742596,116,7.5,2442181480,53.43
"349","Thailand",1961,"South-Eastern Asia","Asia",28224208,99,6.15,9234702982,56.01
"351","Togo",1961,"Western Africa","Africa",1597528,159.4,6.57,312474881.8,41.74
"353","Trinidad and Tobago",1961,"Caribbean","Americas",865356,54.7,5.18,3206251028,63.68
"354","Tunisia",1961,"Northern Africa","Africa",4235936,187.5,7.09,2957595859,43.89
"355","Turkey",1961,"Western Asia","Asia",28229291,161.6,6.24,45081264990,47.71
"360","United Kingdom",1961,"Northern Europe","Europe",52765864,22.5,2.75,540685152092,70.77
"361","United States",1961,"Northern America","Americas",189077076,25.4,3.63,2536417088242,70.32
"362","Uruguay",1961,"South America","Americas",2571691,56.4,2.89,10879240250,68.19
"365","Venezuela",1961,"South America","Americas",8461684,58.1,6.64,42431452970,60.69
"369","Zambia",1961,"Eastern Africa","Africa",3142848,120.9,7.07,1680283120,48.89
"370","Zimbabwe",1961,"Eastern Africa","Africa",3876638,90.1,7.22,1551931300,53.55
"372","Algeria",1962,"Northern Africa","Africa",11690152,148.2,7.65,9595044251,48.55
"375","Argentina",1962,"South America","Americas",21287682,59.59,3.09,113228867667,65.64
"378","Australia",1962,"Australia and New Zealand","Oceania",10691220,19.5,3.43,100302794832,70.91
"379","Austria",1962,"Western Europe","Europe",7151077,32.9,2.8,56758760195,69.51
"383","Bangladesh",1962,"Southern Asia","Asia",51030604,167.6,6.79,14279069088,47.28
"384","Barbados",1962,"Caribbean","Americas",232584,61.2,4.27,920985861.5,62.79
"386","Belgium",1962,"Western Europe","Europe",9261828,27,2.63,75368611864,70.19
"388","Benin",1962,"Western Africa","Africa",2503232,180.6,6.39,619354945,39.32
"390","Bolivia",1962,"South America","Americas",3838096,167.7,6.65,3234938744,44.5
"392","Botswana",1962,"Southern Africa","Africa",549990,109,6.65,141174460.7,51.02
"393","Brazil",1962,"South America","Americas",77007549,122.9,6.14,122227783364,56.27
"396","Burkina Faso",1962,"Western Africa","Africa",4960325,157.5,6.34,658782579.2,36.23
"397","Burundi",1962,"Eastern Africa","Africa",2894510,144.6,7.05,320902003.5,41.13
"399","Cameroon",1962,"Middle Africa","Africa",5593768,160.5,5.77,2870510257,44.53
"400","Canada",1962,"Northern America","Americas",18659663,26,3.77,185532543976,71.25
"402","Central African Republic",1962,"Middle Africa","Africa",1556656,160.4,5.89,540628553.6,38.36
"404","Chile",1962,"South America","Americas",8054166,116.7,5.46,15418876405,57.63
"405","China",1962,"Eastern Asia","Asia",665426760,110,5.97,48151766858,43.29
"406","Colombia",1962,"South America","Americas",17500166,85.9,6.78,21113347503,59.18
"409","Congo, Rep.",1962,"Middle Africa","Africa",1067611,106.1,5.97,713837650.3,49.47
"410","Costa Rica",1962,"Central America","Americas",1432583,80.64,7.22,2569135008,63.13
"411","Cote d'Ivoire",1962,"Western Africa","Africa",3740503,197.7,7.5,2229649037,39.46
"416","Denmark",1962,"Northern Europe","Europe",4649179,20.2,2.54,58636894019,72.43
"418","Dominican Republic",1962,"Caribbean","Americas",3521276,99.6,7.4,3452265961,54.97
"419","Ecuador",1962,"South America","Americas",4812892,115.3,6.65,3866296550,55.42
"420","Egypt",1962,"Northern Africa","Africa",28560741,195.9,6.57,13396534340,49.43
"421","El Salvador",1962,"Central America","Americas",2927861,121.6,6.75,4656688842,53.5
"426","Fiji",1962,"Melanesia","Oceania",421576,50.3,6.09,468770309.7,56.54
"427","Finland",1962,"Northern Europe","Europe",4494623,19.5,2.66,35862633032,68.78
"428","France",1962,"Western Europe","Europe",47121575,21.3,2.81,393660782189,70.61
"434","Ghana",1962,"Western Africa","Africa",7085463,122.7,6.83,2045871634,47.25
"435","Greece",1962,"Southern Europe","Europe",8412059,46.2,2.22,31834306240,69.14
"438","Guatemala",1962,"Central America","Americas",4356579,140.7,6.49,4307699952,47.76
"441","Guyana",1962,"South America","Americas",600559,62.9,5.49,408446141,59.41
"443","Honduras",1962,"Central America","Americas",2139208,132.4,7.44,1618108290,49.21
"446","Iceland",1962,"Northern Europe","Europe",182640,16.9,3.98,1920980854,73.82
"447","India",1962,"Southern Asia","Asia",468054145,160.1,5.84,86523560442,42.72
"448","Indonesia",1962,"South-Eastern Asia","Asia",92558006,141.2,5.65,19949028314,46.65
"453","Italy",1962,"Southern Europe","Europe",50458277,41,2.44,337337043431,69.21
"455","Japan",1962,"Eastern Asia","Asia",94263646,25.5,1.97,877564607312,68.71
"458","Kenya",1962,"Eastern Africa","Africa",8628973,109.9,8.04,2134170916,48.82
"460","South Korea",1962,"Eastern Asia","Asia",26495107,72.4,5.79,31102566019,54.51
"466","Lesotho",1962,"Southern Africa","Africa",881910,141.7,5.82,132288515.6,47.97
"467","Liberia",1962,"Western Africa","Africa",1170267,211.4,6.45,704292927.4,35.88
"474","Malawi",1962,"Eastern Africa","Africa",3784444,214.6,6.98,376777477.8,39.02
"475","Malaysia",1962,"South-Eastern Asia","Asia",8710678,61.1,6.05,7592994493,61.07
"479","Mauritania",1962,"Western Africa","Africa",909172,128.9,6.79,371629363.3,45.31
"481","Mexico",1962,"Central America","Americas",40649590,94.9,6.77,103696598044,58.49
"486","Morocco",1962,"Northern Africa","Africa",13100843,140.4,7.13,8269776687,50.6
"489","Nepal",1962,"Southern Asia","Asia",10377061,213.3,6,1406937995,40.74
"490","Netherlands",1962,"Western Europe","Europe",11735896,15.6,3.18,105401103938,73.21
"493","Nicaragua",1962,"Central America","Americas",1886560,131.1,7.18,1944829723,52.36
"495","Nigeria",1962,"Western Africa","Africa",47117859,182.6,6.35,13388717691,41.61
"496","Norway",1962,"Northern Europe","Europe",3638791,17.5,2.89,41850936292,73.55
"497","Oman",1962,"Western Asia","Asia",578825,226,7.25,654987545.7,46.47
"498","Pakistan",1962,"Southern Asia","Asia",47122931,178,6.6,9532862993,48.63
"499","Panama",1962,"Central America","Americas",1202372,63.6,5.81,2316423139,62.71
"500","Papua New Guinea",1962,"Melanesia","Oceania",2037165,126.9,6.28,945447625.3,39.87
"501","Paraguay",1962,"South America","Americas",2005337,61.4,6.47,1370623898,67.03
"502","Peru",1962,"South America","Americas",10650672,129.1,6.86,19022886909,50.14
"503","Philippines",1962,"South-Eastern Asia","Asia",28081234,64.2,7.02,19908256877,59.53
"505","Portugal",1962,"Southern Europe","Europe",8917020,78.7,3.19,23606910623,64.37
"510","Rwanda",1962,"Eastern Africa","Africa",3050596,123.4,8.2,665541954.3,43.74
"515","Senegal",1962,"Western Africa","Africa",3356421,126,7.04,1928602164,38.72
"517","Seychelles",1962,"Eastern Africa","Africa",43409,70.9,5.53,50507548.88,61.59
"518","Sierra Leone",1962,"Western Africa","Africa",2239581,217.5,6.16,519948926.6,37.06
"519","Singapore",1962,"South-Eastern Asia","Asia",1742472,30.8,5.27,4216235949,65.72
"524","Spain",1962,"Southern Europe","Europe",31122390,41.7,2.8,138983102660,69.65
"525","Sri Lanka",1962,"Southern Asia","Asia",10366190,67.1,5.3,2930856681,60.61
"526","Sudan",1962,"Northern Africa","Africa",7981797,104.1,6.74,3552042477,50.52
"529","Sweden",1962,"Northern Europe","Europe",7576192,15.6,2.26,93686585670,73.34
"531","Syria",1962,"Western Asia","Asia",4897428,110.6,7.52,3041036058,53.98
"534","Thailand",1962,"South-Eastern Asia","Asia",29081037,95.8,6.16,9932315403,56.51
"536","Togo",1962,"Western Africa","Africa",1612758,156.4,6.62,324266598.9,42.42
"538","Trinidad and Tobago",1962,"Caribbean","Americas",880019,53.1,5.05,3294181287,64.2
"539","Tunisia",1962,"Northern Africa","Africa",4303130,178.7,7.12,3099883114,44.65
"540","Turkey",1962,"Western Asia","Asia",28909985,157.1,6.18,47592935468,48.52
"545","United Kingdom",1962,"Northern Europe","Europe",53146634,22,2.79,547865414029,70.84
"546","United States",1962,"Northern America","Americas",191860710,24.9,3.48,2691138530624,70.21
"547","Uruguay",1962,"South America","Americas",2603887,54.9,2.89,10707941295,68.39
"550","Venezuela",1962,"South America","Americas",8790590,56.6,6.63,46052100593,61.3
"554","Zambia",1962,"Eastern Africa","Africa",3240664,118.7,7.13,1638429961,49.42
"555","Zimbabwe",1962,"Eastern Africa","Africa",4006262,87.6,7.27,1574193282,53.99
"557","Algeria",1963,"Northern Africa","Africa",11985130,148.4,7.65,12887461719,49.07
"560","Argentina",1963,"South America","Americas",21621845,59.39,3.08,107218456504,65.74
"563","Australia",1963,"Australia and New Zealand","Oceania",10892700,19.2,3.34,106581315165,70.97
"564","Austria",1963,"Western Europe","Europe",7199962,31.2,2.82,59107589568,69.64
"568","Bangladesh",1963,"Southern Asia","Asia",52532595,163.7,6.83,14213971626,47.81
"569","Barbados",1963,"Caribbean","Americas",233587,57.6,4.2,874214321.5,63.27
"571","Belgium",1963,"Western Europe","Europe",9323467,26,2.63,78648340531,70
"573","Benin",1963,"Western Africa","Africa",2543335,177.1,6.45,648650606.9,39.85
"575","Bolivia",1963,"South America","Americas",3913397,165,6.63,3442644495,44.88
"577","Botswana",1963,"Southern Africa","Africa",564316,105.8,6.67,149533468.5,51.35
"578","Brazil",1963,"South America","Americas",79368453,119.9,6.06,123296876305,56.75
"581","Burkina Faso",1963,"Western Africa","Africa",5027818,155.8,6.38,650429108.3,36.75
"582","Burundi",1963,"Eastern Africa","Africa",2950903,144.3,7.09,334172608.7,41.41
"584","Cameroon",1963,"Middle Africa","Africa",5719135,158.1,5.83,2977940547,45.07
"585","Canada",1963,"Northern America","Americas",19007305,25.1,3.68,195146424965,71.26
"587","Central African Republic",1963,"Middle Africa","Africa",1585765,157.6,5.91,536804991.2,38.85
"589","Chile",1963,"South America","Americas",8237555,111.9,5.34,16361981977,58.07
"591","Colombia",1963,"South America","Americas",18033548,84.3,6.73,21726503327,59.71
"594","Congo, Rep.",1963,"Middle Africa","Africa",1096502,104.2,6.01,685074986.9,50.04
"595","Costa Rica",1963,"Central America","Americas",1484512,77.78,7.09,2692060708,63.7
"596","Cote d'Ivoire",1963,"Western Africa","Africa",3889859,192.8,7.57,2552733117,40.17
"601","Denmark",1963,"Northern Europe","Europe",4686155,19.5,2.64,59010423485,72.52
"603","Dominican Republic",1963,"Caribbean","Americas",3638628,98.1,7.3,3676763462,55.75
"604","Ecuador",1963,"South America","Americas",4953735,112.3,6.62,4016140989,56.01
"605","Egypt",1963,"Northern Africa","Africa",29322709,189.4,6.53,14609661874,49.94
"606","El Salvador",1963,"Central America","Americas",3015885,119.4,6.74,4857179945,54.18
"611","Fiji",1963,"Melanesia","Oceania",436208,48.8,5.88,498578347.6,56.94
"612","Finland",1963,"Northern Europe","Europe",4522727,18.4,2.66,37040756259,69.19
"613","France",1963,"Western Europe","Europe",47781535,20.3,2.81,414710508267,70.46
"619","Ghana",1963,"Western Africa","Africa",7303432,121.8,6.86,2136012214,47.66
"620","Greece",1963,"Southern Europe","Europe",8452617,45,2.23,35061049112,69.44
"623","Guatemala",1963,"Central America","Americas",4476923,138,6.46,4718699494,48.4
"626","Guyana",1963,"South America","Americas",618887,61,5.4,358294439.1,59.58
"628","Honduras",1963,"Central America","Americas",2211144,128.4,7.44,1676043632,49.94
"631","Iceland",1963,"Northern Europe","Europe",186056,16.4,3.86,2118522670,73.13
"632","India",1963,"Southern Asia","Asia",477729958,157.6,5.83,91710088309,43.46
"633","Indonesia",1963,"South-Eastern Asia","Asia",95055669,137.7,5.63,19499569412,47.45
"638","Italy",1963,"Southern Europe","Europe",50872976,39.2,2.47,356260733937,69.32
"640","Japan",1963,"Eastern Asia","Asia",95227653,23.2,1.97,951926293813,69.79
"643","Kenya",1963,"Eastern Africa","Africa",8908425,106.5,8.08,2321515701,49.48
"645","South Korea",1963,"Eastern Asia","Asia",27143075,68.8,5.57,34067175844,55.27
"651","Lesotho",1963,"Southern Africa","Africa",898342,141.5,5.81,146331045.2,48.32
"652","Liberia",1963,"Western Africa","Africa",1196588,210.4,6.48,720311768.4,36.28
"659","Malawi",1963,"Eastern Africa","Africa",3872124,212.9,7.02,371536207.5,39.25
"660","Malaysia",1963,"South-Eastern Asia","Asia",8999247,58.3,5.94,8150229423,61.63
"664","Mauritania",1963,"Western Africa","Africa",936014,126,6.8,364257100.3,45.96
"666","Mexico",1963,"Central America","Americas",41939880,90.8,6.77,112103163998,58.96
"671","Morocco",1963,"Northern Africa","Africa",13488517,138,7.14,8671985899,51.09
"674","Nepal",1963,"Southern Asia","Asia",10544586,209.4,6,1433601041,41.21
"675","Netherlands",1963,"Western Europe","Europe",11896942,15.3,3.19,109221495044,73.33
"678","Nicaragua",1963,"Central America","Americas",1943591,129.7,7.11,2138207607,53.19
"680","Nigeria",1963,"Western Africa","Africa",48128460,181.4,6.34,14537284760,42.19
"681","Norway",1963,"Northern Europe","Europe",3666690,17.1,2.91,43435012262,73.2
"682","Oman",1963,"Western Asia","Asia",593504,218.7,7.26,684666626.6,47.37
"683","Pakistan",1963,"Southern Asia","Asia",48312888,171.7,6.6,10361157397,49.47
"684","Panama",1963,"Central America","Americas",1238824,61.9,5.77,2511526589,63.22
"685","Papua New Guinea",1963,"Melanesia","Oceania",2075630,123.2,6.28,983951146.7,40.6
"686","Paraguay",1963,"South America","Americas",2058916,60.9,6.45,1423698934,67.33
"687","Peru",1963,"South America","Americas",10961539,125.4,6.84,19730642246,50.7
"688","Philippines",1963,"South-Eastern Asia","Asia",29016770,62.7,6.95,21313876851,59.87
"690","Portugal",1963,"Southern Europe","Europe",8924221,74.4,3.19,24993510231,65
"695","Rwanda",1963,"Eastern Africa","Africa",3102968,122.4,8.2,600182776.5,44.05
"700","Senegal",1963,"Western Africa","Africa",3450418,125.9,7.08,1964560538,38.76
"702","Seychelles",1963,"Eastern Africa","Africa",44515,69.5,5.65,55626795.76,62.08
"703","Sierra Leone",1963,"Western Africa","Africa",2269890,214.2,6.23,528786577.4,37.57
"704","Singapore",1963,"South-Eastern Asia","Asia",1790682,29.3,4.97,4591736530,65.97
"709","Spain",1963,"Southern Europe","Europe",31479529,39.3,2.82,152320614543,69.81
"710","Sri Lanka",1963,"Southern Asia","Asia",10608672,64.6,5.18,3004618975,61.06
