Book_ID	ISBN	Book-Title	Book-Author	Year-Of-Publication	Publisher	Image-URL-S	Image-URL-M	Image-URL-L
11	0375759778	Prague : A Novel	ARTHUR PHILLIPS	2003	Random House Trade Paperbacks	http://images.amazon.com/images/P/0375759778.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0375759778.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg	
12	0425163091	Chocolate Jesus	Stephan Jaramillo	1998	Berkley Publishing Group	http://images.amazon.com/images/P/0425163091.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0425163091.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg	
13	0446310786	To Kill a Mockingbird	Harper Lee	1988	Little Brown &amp	 Company	http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg	
14	0449005615	Seabiscuit: An American Legend	LAURA HILLENBRAND	2002	Ballantine Books	http://images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg	
15	0060168013	Pigs in Heaven	Barbara Kingsolver	1993	Harpercollins	http://images.amazon.com/images/P/0060168013.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg	
16	038078243X	Miss Zukas and the Raven's Dance	Jo Dereske	1996	Avon	http://images.amazon.com/images/P/038078243X.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/038078243X.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/038078243X.01.LZZZZZZZ.jpg	
17	0553582909	Icebound	Dean R. Koontz	2000	Bantam Books	http://images.amazon.com/images/P/0553582909.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0553582909.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg	
18	0671888587	I'll Be Seeing You	Mary Higgins Clark	1994	Pocket	http://images.amazon.com/images/P/0671888587.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg	
19	0553582747	From the Corner of His Eye	Dean Koontz	2001	Bantam Books	http://images.amazon.com/images/P/0553582747.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg	
20	0425182908	Isle of Dogs	Patricia Cornwell	2002	Berkley Publishing Group	http://images.amazon.com/images/P/0425182908.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg	
21	042518630X	Purity in Death	J.D. Robb	2002	Berkley Publishing Group	http://images.amazon.com/images/P/042518630X.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg	
22	0440223571	This Year It Will Be Different: And Other Stories	Maeve Binchy	1997	Dell	http://images.amazon.com/images/P/0440223571.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0440223571.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg	
23	0812523873	Proxies	Laura J. Mixon	1999	Tor Books	http://images.amazon.com/images/P/0812523873.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0812523873.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0812523873.01.LZZZZZZZ.jpg	
24	0440225701	The Street Lawyer	JOHN GRISHAM	1999	Dell	http://images.amazon.com/images/P/0440225701.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg	
25	0060914068	Love, Medicine and Miracles	M.D. Bernie S. Siegel	1988	HarperCollins Publishers	http://images.amazon.com/images/P/0060914068.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0060914068.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0060914068.01.LZZZZZZZ.jpg	
26	0156047624	All the King's Men	Robert Penn Warren	1982	Harvest Books	http://images.amazon.com/images/P/0156047624.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0156047624.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0156047624.01.LZZZZZZZ.jpg	
27	0553280333	Getting Well Again	O. Carol Simonton Md	1992	Bantam	http://images.amazon.com/images/P/0553280333.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0553280333.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0553280333.01.LZZZZZZZ.jpg	
28	0679810307	Shabanu: Daughter of the Wind (Border Trilogy)	SUZANNE FISHER STAPLES	1991	Laurel Leaf	http://images.amazon.com/images/P/0679810307.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0679810307.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0679810307.01.LZZZZZZZ.jpg	
29	0679865691	Haveli (Laurel Leaf Books)	SUZANNE FISHER STAPLES	1995	Laurel Leaf	http://images.amazon.com/images/P/0679865691.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0679865691.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0679865691.01.LZZZZZZZ.jpg	
30	0394743741	The yawning heights	Aleksandr Zinoviev	1980	Random House	http://images.amazon.com/images/P/0394743741.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0394743741.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0394743741.01.LZZZZZZZ.jpg	
31	0804106304	The Joy Luck Club	Amy Tan	1994	Prentice Hall (K-12)	http://images.amazon.com/images/P/0804106304.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg	
32	1853262404	Heart of Darkness (Wordsworth Collection)	Joseph Conrad	1998	NTC/Contemporary Publishing Company	http://images.amazon.com/images/P/1853262404.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/1853262404.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/1853262404.01.LZZZZZZZ.jpg	
33	0312970242	The Angel Is Near	Deepak Chopra	2000	St. Martin's Press	http://images.amazon.com/images/P/0312970242.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0312970242.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0312970242.01.LZZZZZZZ.jpg	
34	1414035004	The Adventures of Drew and Ellie: The Magical Dress	Charles Noland	2003	1stBooks Library	http://images.amazon.com/images/P/1414035004.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/1414035004.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/1414035004.01.LZZZZZZZ.jpg	
35	0140067477	The Tao of Pooh	Benjamin Hoff	1983	Penguin Books	http://images.amazon.com/images/P/0140067477.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0140067477.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg	
36	0345465083	Seabiscuit	LAURA HILLENBRAND	2003	Ballantine Books	http://images.amazon.com/images/P/0345465083.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0345465083.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg	
37	0451625889	The Prince	Niccolo Machiavelli	1952	Signet Book	http://images.amazon.com/images/P/0451625889.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0451625889.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0451625889.01.LZZZZZZZ.jpg	
38	0441783589	Starship Troopers	Robert A. Heinlein	1987	Ace Books	http://images.amazon.com/images/P/0441783589.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0441783589.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0441783589.01.LZZZZZZZ.jpg	
39	0394895894	The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)	PHILIP PULLMAN	1988	Laurel Leaf	http://images.amazon.com/images/P/0394895894.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0394895894.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0394895894.01.LZZZZZZZ.jpg	
40	1569871213	Black Beauty (Illustrated Classics)	Anna Sewell	1995	Landoll	http://images.amazon.com/images/P/1569871213.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/1569871213.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/1569871213.01.LZZZZZZZ.jpg	
41	0966986105	Prescription for Terror	Sandra Levy Ceren	1999	Andrew Scott Publishers	http://images.amazon.com/images/P/0966986105.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0966986105.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0966986105.01.LZZZZZZZ.jpg	
42	0340767936	Turning Thirty	Mike Gayle	2000	Hodder &amp	 Stoughton General Division	http://images.amazon.com/images/P/0340767936.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0340767936.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0340767936.01.LZZZZZZZ.jpg	
43	0743403843	Decipher	Stel Pavlou	2002	Simon &amp	 Schuster (Trade Division)	http://images.amazon.com/images/P/0743403843.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0743403843.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0743403843.01.LZZZZZZZ.jpg	
44	8445071408	El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish))	J. R. R. Tolkien	2001	Minotauro	http://images.amazon.com/images/P/8445071408.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/8445071408.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/8445071408.01.LZZZZZZZ.jpg	
45	8445071769	El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback))	J. R. R. Tolkien	2001	Minotauro	http://images.amazon.com/images/P/8445071769.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/8445071769.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/8445071769.01.LZZZZZZZ.jpg	
46	8445071777	El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)	J. R. R. Tolkien	2001	Distribooks	http://images.amazon.com/images/P/8445071777.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/8445071777.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/8445071777.01.LZZZZZZZ.jpg	
47	0679429220	Midnight in the Garden of Good and Evil: A Savannah Story	John Berendt	1994	Random House	http://images.amazon.com/images/P/0679429220.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0679429220.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0679429220.01.LZZZZZZZ.jpg	
48	0671867156	Pretend You Don't See Her	Mary Higgins Clark	1998	Pocket	http://images.amazon.com/images/P/0671867156.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0671867156.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0671867156.01.LZZZZZZZ.jpg	
49	0312252617	Fast Women	Jennifer Crusie	2001	St. Martin's Press	http://images.amazon.com/images/P/0312252617.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0312252617.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0312252617.01.LZZZZZZZ.jpg	
50	0312261594	Female Intelligence	Jane Heller	2001	St. Martin's Press	http://images.amazon.com/images/P/0312261594.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0312261594.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0312261594.01.LZZZZZZZ.jpg	
51	0316748641	Pasquale's Nose: Idle Days in an Italian Town	Michael Rips	2002	Back Bay Books	http://images.amazon.com/images/P/0316748641.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0316748641.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0316748641.01.LZZZZZZZ.jpg	
52	0316973742	The Gospel of Judas: A Novel	Simon Mawer	2002	Back Bay Books	http://images.amazon.com/images/P/0316973742.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0316973742.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0316973742.01.LZZZZZZZ.jpg	
53	0451166892	The Pillars of the Earth	Ken Follett	1996	Signet Book	http://images.amazon.com/images/P/0451166892.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0451166892.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0451166892.01.LZZZZZZZ.jpg	
54	0553347594	McDonald's: Behind the Arches	John F. Love	1995	Bantam	http://images.amazon.com/images/P/0553347594.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0553347594.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0553347594.01.LZZZZZZZ.jpg	
55	0684822733	Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans	Pam Proctor	1996	Fireside	http://images.amazon.com/images/P/0684822733.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0684822733.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0684822733.01.LZZZZZZZ.jpg	
56	8472238822	Tu Nombre Escrito En El Agua (La Sonrisa Vertical)	Irene Gonzalez Frei	2002	Tusquets	http://images.amazon.com/images/P/8472238822.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/8472238822.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/8472238822.01.LZZZZZZZ.jpg	
57	0671521519	Bless The Beasts And Children : Bless The Beasts And Children	Glendon Swarthout	1995	Pocket	http://images.amazon.com/images/P/0671521519.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0671521519.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0671521519.01.LZZZZZZZ.jpg	
58	0446608653	The Alibi	Sandra Brown	2000	Warner Books	http://images.amazon.com/images/P/0446608653.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0446608653.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0446608653.01.LZZZZZZZ.jpg	
59	0446612545	The Beach House	James Patterson	2003	Warner Books	http://images.amazon.com/images/P/0446612545.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0446612545.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0446612545.01.LZZZZZZZ.jpg	
60	0446612618	A Kiss Remembered	Sandra Brown	2003	Warner Books	http://images.amazon.com/images/P/0446612618.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0446612618.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0446612618.01.LZZZZZZZ.jpg	
61	0451208080	The Short Forever	Stuart Woods	2003	Signet Book	http://images.amazon.com/images/P/0451208080.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0451208080.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0451208080.01.LZZZZZZZ.jpg	
62	0553584383	Dead Aim	IRIS JOHANSEN	2004	Bantam Books	http://images.amazon.com/images/P/0553584383.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0553584383.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0553584383.01.LZZZZZZZ.jpg	
63	0671027360	Angels &amp	 Demons	Dan Brown	2001	Pocket Star	http://images.amazon.com/images/P/0671027360.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0671027360.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0671027360.01.LZZZZZZZ.jpg	
64	0812575954	The Deal	Joe Hutsko	2000	Tor Books (Mm)	http://images.amazon.com/images/P/0812575954.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0812575954.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0812575954.01.LZZZZZZZ.jpg	
65	0743439740	Every Breath You Take : A True Story of Obsession, Revenge, and Murder	Ann Rule	2002	Pocket	http://images.amazon.com/images/P/0743439740.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0743439740.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0743439740.01.LZZZZZZZ.jpg	
66	0345372700	If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground	LEWIS GRIZZARD	1991	Ballantine Books	http://images.amazon.com/images/P/0345372700.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0345372700.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0345372700.01.LZZZZZZZ.jpg	
67	0446325805	If Love Were Oil, I'd Be About a Quart Low	Lewis Grizzard	1994	Warner Books (Mm)	http://images.amazon.com/images/P/0446325805.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0446325805.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0446325805.01.LZZZZZZZ.jpg	
68	0743249992	Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions	Ben Mezrich	2003	Free Press	http://images.amazon.com/images/P/0743249992.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0743249992.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0743249992.01.LZZZZZZZ.jpg	
69	0840734530	The Oneprince (The Redaemian Chronicles, Book 1)	Bill Hand	1992	Thomas Nelson Inc	http://images.amazon.com/images/P/0840734530.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0840734530.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0840734530.01.LZZZZZZZ.jpg	
70	0375500766	Care Packages : Letters to Christopher Reeve from Strangers and Other Friends	DANA REEVE	1999	Random House	http://images.amazon.com/images/P/0375500766.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0375500766.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0375500766.01.LZZZZZZZ.jpg	
71	9724119378	O Deus Das Pequenas Coisas	Roy	1998	Edicoes Asa	http://images.amazon.com/images/P/9724119378.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/9724119378.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/9724119378.01.LZZZZZZZ.jpg	
72	0451205197	Lady in Green/Minor Indiscretions (Signet Regency Romance)	Barbara Metzger	2002	Signet Book	http://images.amazon.com/images/P/0451205197.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0451205197.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0451205197.01.LZZZZZZZ.jpg	
73	0060976845	Little Altars Everywhere: A Novel	Rebecca Wells	1996	Perennial	http://images.amazon.com/images/P/0060976845.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0060976845.01.LZZZZZZZ.jpg	
74	0061099325	Coyote Waits (Joe Leaphorn/Jim Chee Novels)	Tony Hillerman	1992	HarperTorch	http://images.amazon.com/images/P/0061099325.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0061099325.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0061099325.01.LZZZZZZZ.jpg	
75	0671004573	Before I Say Good-Bye	Mary Higgins Clark	2001	Pocket	http://images.amazon.com/images/P/0671004573.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0671004573.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0671004573.01.LZZZZZZZ.jpg	
76	0446601640	Slow Waltz in Cedar Bend	Robert James Waller	1994	Warner Books	http://images.amazon.com/images/P/0446601640.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0446601640.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0446601640.01.LZZZZZZZ.jpg	
77	0330484516	Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title)	Rachel Harris	2001	Pan Macmillan	http://images.amazon.com/images/P/0330484516.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0330484516.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0330484516.01.LZZZZZZZ.jpg	
78	0393020371	Next: The Future Just Happened	Michael Lewis	2001	W.W. Norton &amp	 Company	http://images.amazon.com/images/P/0393020371.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0393020371.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0393020371.01.LZZZZZZZ.jpg	
79	0451410319	Hush	Anne Frasier	2002	Onyx Books	http://images.amazon.com/images/P/0451410319.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0451410319.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0451410319.01.LZZZZZZZ.jpg	
80	0553583468	Whisper of Evil (Hooper, Kay. Evil Trilogy.)	Kay Hooper	2002	Bantam Books	http://images.amazon.com/images/P/0553583468.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0553583468.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0553583468.01.LZZZZZZZ.jpg	
81	8420639133	Temor y Temblor	Soren Kierkegaard	2001	Alianza	http://images.amazon.com/images/P/8420639133.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/8420639133.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/8420639133.01.LZZZZZZZ.jpg	
82	0451525221	Scarlet Letter	Nathaniel Hawthorne	1993	Signet Book	http://images.amazon.com/images/P/0451525221.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0451525221.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0451525221.01.LZZZZZZZ.jpg	
83	0002740230	Keep It Simple: And Get More Out of Life	Nick Page	1999	Trafalgar Square	http://images.amazon.com/images/P/0002740230.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0002740230.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0002740230.01.LZZZZZZZ.jpg	
84	0440949424	Locked in Time (Laurel Leaf Books)	LOIS DUNCAN	1986	Laure Leaf	http://images.amazon.com/images/P/0440949424.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0440949424.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0440949424.01.LZZZZZZZ.jpg	
85	0505524996	Contact	Susan Grant	2002	Love Spell	http://images.amazon.com/images/P/0505524996.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0505524996.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0505524996.01.LZZZZZZZ.jpg	
86	0140252800	The Brimstone Wedding	Barbara Vine	1997	Penguin Books Ltd	http://images.amazon.com/images/P/0140252800.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0140252800.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0140252800.01.LZZZZZZZ.jpg	
87	044651747X	Puerto Vallarta Squeeze	Robert James Waller	1995	Warner Books	http://images.amazon.com/images/P/044651747X.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/044651747X.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/044651747X.01.LZZZZZZZ.jpg	
88	0060801263	Tree Grows In Brooklyn	Betty Smith	1988	Harpercollins Publisher	http://images.amazon.com/images/P/0060801263.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0060801263.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0060801263.01.LZZZZZZZ.jpg	
89	0061030147	Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think	Cybill Shepherd	2001	Avon Books	http://images.amazon.com/images/P/0061030147.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0061030147.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0061030147.01.LZZZZZZZ.jpg	
90	0671461494	The Hitchhiker's Guide to the Galaxy	Douglas Adams	1982	Pocket	http://images.amazon.com/images/P/0671461494.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0671461494.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0671461494.01.LZZZZZZZ.jpg	
91	0385337639	Crow Lake (Today Show Book Club #7)	Mary Lawson	2003	Delta	http://images.amazon.com/images/P/0385337639.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0385337639.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0385337639.01.LZZZZZZZ.jpg	
92	039575514X	My Antonia	Willa Cather	1995	Mariner Books	http://images.amazon.com/images/P/039575514X.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/039575514X.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/039575514X.01.LZZZZZZZ.jpg	
